889,45,2,17
2646,27,18,48
809,19,26,7
1421,10,29,29
1311,27,7,33
1847,19,27,29
273,21,0,13
2880,33,30,30
2068,22,22,36
1635,30,9,35
1196,5,28,32
1403,37,7,26
2124,30,26,24
182,5,4,18
3134,32,34,31
3505,34,45,25
1235,25,37,5
1707,41,36,3
1308,22,10,34
3089,44,23,31
1523,31,38,5
837,31,27,0
2081,49,34,5
2140,30,10,46
1986,33,8,42
170,10,5,8
3491,43,17,46
2342,18,44,25
668,38,6,10
2264,34,26,23
725,25,20,5
1120,0,35,32
2541,48,47,3
56,18,2,1
135,0,3,45
2234,4,41,46
344,32,4,6
1625,3,35,40
4526,43,32,42
5,1,1,2
5444,38,44,46
3471,47,24,33
2583,21,42,27
1748,34,32,10
4043,29,37,45
1931,43,17,20
3101,29,44,25
783,6,33,15
51,3,7,3
1670,25,20,26
167,7,1,20
3445,30,49,25
1452,30,12,26
389,23,4,11
2265,20,45,21
2220,10,30,48
440,1,20,20
1430,36,22,11
473,7,22,11
1475,27,2,49
19,1,1,9
2005,17,20,45
1390,6,25,40
357,21,0,17
1389,40,9,21
1160,7,24,32
2441,13,32,45
3228,36,42,22
1680,16,28,28
1680,27,46,6
591,17,23,5
950,20,7,30
292,10,18,4
1806,28,46,7
855,17,27,9
2558,40,23,26
1330,0,38,35
260,2,4,42
792,40,6,12
1994,8,41,34
2648,28,38,24
1441,13,22,33
1275,21,31,12
2144,44,36,7
216,2,20,8
3183,35,23,41
1264,46,6,19
1022,1,32,30
3404,44,16,45
1247,47,17,7
360,10,10,13
3103,37,49,15
2959,18,31,49
1806,0,42,43
479,7,4,41
731,34,3,17
1310,22,17,24
1075,14,27,17
807,15,28,9
2053,37,22,21
